train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.0008099378901533782,5,769,,,,,,,,,
0.0007540215738117695,5,779,,,,,,,,,
,5,784,0.007709394674748182,0.9989938735961914,0.9989929795265198,0.9999975562095642,0.9956603567001375,,,,
,5,785,,,,,,0.9999793767929077,0.9999793767929077,1.0,1.0
0.0008492324850521982,6,789,,,,,,,,,
0.0008689314126968384,6,799,,,,,,,,,
0.0006798090762458742,6,809,,,,,,,,,
,6,811,0.007738896645605564,0.9989279508590698,0.9989269375801086,0.999997615814209,0.9956815719640478,,,,
0.0008278614841401577,6,819,,,,,,,,,
0.0006818792899139225,6,829,,,,,,,,,
,6,837,0.007745964452624321,0.9989151954650879,0.9989141225814819,0.9999977350234985,0.9956600076595028,,,,
0.0007344266050495207,6,839,,,,,,,,,
0.0007169325253926218,6,849,,,,,,,,,
0.0007100616930983961,6,859,,,,,,,,,
,6,863,0.007792094722390175,0.9988939166069031,0.9988927841186523,0.9999975562095642,0.9956091598276543,,,,
0.00063845026306808,6,869,,,,,,,,,
0.0006185434758663177,6,879,,,,,,,,,
0.000542044173926115,6,889,,,,,,,,,
,6,889,0.00774742104113102,0.9988769292831421,0.9988757371902466,0.999997615814209,0.9956262985050632,,,,
0.0005411447491496801,6,899,,,,,,,,,
0.0006768006714992225,6,909,,,,,,,,,
,6,915,0.0075812144204974174,0.9988939166069031,0.9988927841186523,0.999997615814209,0.9956306863249533,,,,
,6,916,,,,,,0.9999868869781494,0.9999868869781494,1.0,1.0
0.0005490079638548195,7,919,,,,,,,,,
0.0012468852801248431,7,929,,,,,,,,,
0.0006168145919218659,7,939,,,,,,,,,
,7,942,0.007631763815879822,0.9988513588905334,0.9988501667976379,0.9999976754188538,0.9956645735666545,,,,
0.0007737011183053255,7,949,,,,,,,,,
0.0005235387361608446,7,959,,,,,,,,,
,7,968,0.007679294794797897,0.9987960457801819,0.9987947344779968,0.9999976754188538,0.9956299625528594,,,,
0.0005084648728370667,7,969,,,,,,,,,
0.0005492322379723191,7,979,,,,,,,,,
0.0005066411104053259,7,989,,,,,,,,,
,7,994,0.007753502577543259,0.9987386465072632,0.9987371563911438,0.999997615814209,0.9956051041376642,,,,
0.0005167245981283486,7,999,,,,,,,,,
0.00045235216384753585,7,1009,,,,,,,,,
0.00037421961314976215,7,1019,,,,,,,,,
,7,1020,0.007728445343673229,0.9987322688102722,0.9987307786941528,0.999997615814209,0.9956220232964598,,,,
0.0004120768862776458,7,1029,,,,,,,,,
0.0006252843886613846,7,1039,,,,,,,,,
,7,1046,0.007583972066640854,0.9987344145774841,0.9987329244613647,0.999997615814209,0.9956601338387489,,,,
,7,1047,,,,,,0.9999906420707703,0.9999906420707703,1.0,1.0
0.0003660368383862078,8,1049,,,,,,,,,
0.0005502803833223879,8,1059,,,,,,,,,
0.00038042623782530427,8,1069,,,,,,,,,
,8,1073,0.00764456344768405,0.9987258911132812,0.9987244009971619,0.999997615814209,0.9956897924562838,,,,
0.00041123523260466754,8,1079,,,,,,,,,
0.0004314649268053472,8,1089,,,,,,,,,
0.00038552729529328644,8,1099,,,,,,,,,
,8,1099,0.007720172870904207,0.9986769556999207,0.9986753463745117,0.999997615814209,0.9956644366895098,,,,
0.00043416046537458897,8,1109,,,,,,,,,
0.00036368187284097075,8,1119,,,,,,,,,
,8,1125,0.0078104762360453606,0.9986323118209839,0.9986305236816406,0.9999976754188538,0.9956006495797521,,,,
0.0003393445804249495,8,1129,,,,,,,,,
0.00036751560401171446,8,1139,,,,,,,,,
0.00034042290644720197,8,1149,,,,,,,,,
,8,1151,0.007795585319399834,0.9986259341239929,0.9986241459846497,0.999997615814209,0.9955920520225793,,,,
0.0003219148493371904,8,1159,,,,,,,,,
0.000358553632395342,8,1169,,,,,,,,,
,8,1177,0.007664752658456564,0.998630166053772,0.9986284375190735,0.999997615814209,0.9956132715187033,,,,
,8,1178,,,,,,0.9999906420707703,0.9999906420707703,1.0,1.0
0.00032837552134878933,9,1179,,,,,,,,,
0.0002804757677949965,9,1189,,,,,,,,,
0.0004466637328732759,9,1199,,,,,,,,,
,9,1204,0.00773036340251565,0.9986110329627991,0.9986092448234558,0.9999977350234985,0.9956472888102578,,,,
0.00030120002338662744,9,1209,,,,,,,,,
0.0003425591276027262,9,1219,,,,,,,,,
0.0003064171760343015,9,1229,,,,,,,,,
,9,1230,0.007824407890439034,0.9983834028244019,0.9983809590339661,0.9999977350234985,0.9956045355513204,,,,
0.00030657535535283387,9,1239,,,,,,,,,
0.00031731213675811887,9,1249,,,,,,,,,
,9,1256,0.007925573736429214,0.9981707334518433,0.9981675148010254,0.999997615814209,0.9955450517075558,,,,
0.00028994143940508366,9,1259,,,,,,,,,
0.0004751059750560671,9,1269,,,,,,,,,
0.0003211454313714057,9,1279,,,,,,,,,
,9,1282,0.007917001843452454,0.9981430768966675,0.9981397986412048,0.9999974966049194,0.9955451349969142,,,,
0.00026090547908097506,9,1289,,,,,,,,,
0.0002587350027170032,9,1299,,,,,,,,,
,9,1308,0.007795567158609629,0.9981707334518433,0.9981675148010254,0.9999975562095642,0.9955704249071963,,,,
0.00022456448641605675,9,1309,,,,,,,,,
,9,1309,,,,,,0.9999906420707703,0.9999906420707703,1.0,1.0
